player_id,player_name,team,position,headshot_url,entry_year,team_abbr,draft_number,team_logo_espn,team_league_logo,team_color,team_color2,offense_snaps,season,fantasy_points_ppr,games,attempts,passing_epa,carries,rushing_epa,receiving_epa,merge_name
00-0024535,Eric Weems,ATL,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kptsfekcpfukewtim9kz",2007,ATL,,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,#A71930,#000000,,2013,1.8,1,0,0.0,0,0.0,-0.6113453558646142,ericweems
00-0024535,Eric Weems,ATL,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kptsfekcpfukewtim9kz",2007,ATL,,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,#A71930,#000000,,2014,32.2,6,0,0.0,0,0.0,11.461822064215085,ericweems
00-0024535,Eric Weems,ATL,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kptsfekcpfukewtim9kz",2007,ATL,,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,#A71930,#000000,,2015,2.5,2,0,0.0,1,-0.4781330213882029,1.112096122931689,ericweems
00-0024535,Eric Weems,ATL,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kptsfekcpfukewtim9kz",2007,ATL,,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,#A71930,#000000,,2017,1.5,3,0,0.0,1,-3.3123617976671085,-1.3466859610634856,ericweems
00-0024559,Danny Ware,TB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/liunjjobucn1b5ooyfod",2007,TB,,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,#A71930,#322F2B,,2012,29.1,14,0,0.0,11,-0.05009001750335518,-7.332950686472594,dannware
00-0024714,Edgar Jones,DAL,DE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qomqcmxxprbqmkp0nh23",2007,DAL,11,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,#002244,#B0B7BC,,2012,6.0,1,0,0.0,0,0.0,0.0,edgajones
00-0024756,Matt Willis,DEN,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mw1ccnlauktpvqri2a0o",2007,DEN,,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,#002244,#FB4F14,,2012,19.0,12,0,0.0,0,0.0,-23.646087502901736,mattwillis
00-0024796,Craig Dahl,NYG,SS,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ikx6ey1gv9nbfwwpzq31",2007,NYG,226,https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,#0B2265,#A71930,,2014,0.30000000000000004,1,0,0.0,1,2.1912028663791716,0.0,craidahl
00-0024813,Pierre Thomas,NO,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/w58uf8rmlucv7qagwrfv",2007,NO,,https://a.espncdn.com/i/teamlogos/nfl/500/no.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,#D3BC8D,#000000,,2012,133.7,15,0,0.0,105,2.9244283277657814,11.617066630387852,pierthomas
00-0024813,Pierre Thomas,NO,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/w58uf8rmlucv7qagwrfv",2007,NO,,https://a.espncdn.com/i/teamlogos/nfl/500/no.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,#D3BC8D,#000000,,2013,213.20000000000002,16,0,0.0,147,-5.276891228741944,8.075683700901958,pierthomas
00-0024813,Pierre Thomas,NO,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/w58uf8rmlucv7qagwrfv",2007,NO,,https://a.espncdn.com/i/teamlogos/nfl/500/no.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,#D3BC8D,#000000,,2014,123.0,11,0,0.0,45,-0.7447783131210599,11.933487832384962,pierthomas
00-0024813,Pierre Thomas,NO,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/w58uf8rmlucv7qagwrfv",2007,NO,,https://a.espncdn.com/i/teamlogos/nfl/500/no.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,#D3BC8D,#000000,,2015,23.8,4,0,0.0,15,0.7887600750545971,3.093250339035876,pierthomas
00-0025389,Calvin Johnson,DET,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/z6dxib9sientn4m9cljh",2007,DET,223,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,#0076B6,#B0B7BC,1151.0,2012,342.40000000000003,16,0,0.0,0,0.0,70.46058241009307,calvjohnso
00-0025389,Calvin Johnson,DET,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/z6dxib9sientn4m9cljh",2007,DET,223,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,#0076B6,#B0B7BC,892.0,2013,303.2,14,0,0.0,0,0.0,37.41529114799034,calvjohnso
00-0025389,Calvin Johnson,DET,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/z6dxib9sientn4m9cljh",2007,DET,223,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,#0076B6,#B0B7BC,759.0,2014,226.70000000000002,13,0,0.0,0,0.0,47.223567189657274,calvjohnso
00-0025389,Calvin Johnson,DET,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/z6dxib9sientn4m9cljh",2007,DET,223,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,#0076B6,#B0B7BC,1002.0,2015,261.4,16,0,0.0,0,0.0,39.58906219457148,calvjohnso
00-0025394,Adrian Peterson,DET,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wcjhdlzid3giumhu60tu",2007.0,DET,7.0,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,#0076B6,#B0B7BC,795.0,2012,347.4,16,0,0.0,348,23.963733934934584,-4.298027144039969,adripeters
00-0025394,Adrian Peterson,DET,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wcjhdlzid3giumhu60tu",2007.0,DET,7.0,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,#0076B6,#B0B7BC,674.0,2013,232.70000000000002,14,0,0.0,279,-4.322917384552763,-6.485818227121103,adripeters
00-0025394,Adrian Peterson,DET,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wcjhdlzid3giumhu60tu",2007.0,DET,7.0,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,#0076B6,#B0B7BC,43.0,2014,11.3,1,0,0.0,21,-4.460419428661183,2.264942540146876,adripeters
00-0025394,Adrian Peterson,DET,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wcjhdlzid3giumhu60tu",2007.0,DET,7.0,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,#0076B6,#B0B7BC,702.0,2015,260.7,16,0,0.0,327,-15.861006461171428,0.412419578290077,adripeters
00-0025394,Adrian Peterson,DET,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wcjhdlzid3giumhu60tu",2007.0,DET,7.0,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,#0076B6,#B0B7BC,84.0,2016,9.0,3,0,0.0,37,-18.0665626906557,-2.233887569978833,adripeters
00-0025394,Adrian Peterson,DET,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wcjhdlzid3giumhu60tu",2007.0,DET,7.0,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,#0076B6,#B0B7BC,301.0,2017,78.9,10,0,0.0,156,-41.092379595956885,-6.198294202625067,adripeters
00-0025394,Adrian Peterson,DET,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wcjhdlzid3giumhu60tu",2007.0,DET,7.0,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,#0076B6,#B0B7BC,479.0,2018,189.0,16,0,0.0,251,-24.2657921242776,2.6784218707471155,adripeters
00-0025394,Adrian Peterson,DET,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wcjhdlzid3giumhu60tu",2007.0,DET,7.0,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,#0076B6,#B0B7BC,402.0,2019,147.0,15,0,0.0,211,-25.582746157393558,-1.170229604650265,adripeters
00-0025394,Adrian Peterson,DET,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wcjhdlzid3giumhu60tu",2007.0,DET,7.0,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,#0076B6,#B0B7BC,313.0,2020,124.5,16,0,0.0,156,-12.136177822741562,1.7225845800130628,adripeters
00-0025394,Adrian Peterson,DET,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wcjhdlzid3giumhu60tu",2007.0,DET,7.0,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,#0076B6,#B0B7BC,72.0,2021,26.6,4,0,0.0,38,-9.86462577158818,-1.2776449784869328,adripeters
00-0025396,Ted Ginn,CAR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/av3kbvba3bp4c6wrqz3g",2007,CAR,59,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,#0085CA,#000000,99.0,2012,2.8000000000000003,3,0,0.0,1,0.6385382702574134,-0.8393771053524688,tedginn
00-0025396,Ted Ginn,CAR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/av3kbvba3bp4c6wrqz3g",2007,CAR,59,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,#0085CA,#000000,535.0,2013,124.5,16,0,0.0,4,1.5489890507888049,24.03267305386082,tedginn
00-0025396,Ted Ginn,CAR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/av3kbvba3bp4c6wrqz3g",2007,CAR,59,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,#0085CA,#000000,154.0,2014,40.0,13,1,0.8702882564393803,3,-1.0608487752033398,2.0068327516696436,tedginn
00-0025396,Ted Ginn,CAR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/av3kbvba3bp4c6wrqz3g",2007,CAR,59,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,#0085CA,#000000,816.0,2015,183.9,14,0,0.0,4,3.1574596964055672,17.01602282867625,tedginn
00-0025396,Ted Ginn,CAR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/av3kbvba3bp4c6wrqz3g",2007,CAR,59,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,#0085CA,#000000,688.0,2016,163.0,16,0,0.0,14,3.457559389207745,16.38453368051121,tedginn
00-0025396,Ted Ginn,CAR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/av3kbvba3bp4c6wrqz3g",2007,CAR,59,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,#0085CA,#000000,706.0,2017,159.6,15,0,0.0,10,0.903240338928299,28.050320418599288,tedginn
00-0025396,Ted Ginn,CAR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/av3kbvba3bp4c6wrqz3g",2007,CAR,59,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,#0085CA,#000000,273.0,2018,52.5,5,0,0.0,3,0.7930552946636453,-2.133260410570074,tedginn
00-0025396,Ted Ginn,CAR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/av3kbvba3bp4c6wrqz3g",2007,CAR,59,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,#0085CA,#000000,639.0,2019,85.9,15,0,0.0,3,0.32760189671535045,4.87945375434837,tedginn
00-0025396,Ted Ginn,CAR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/av3kbvba3bp4c6wrqz3g",2007,CAR,59,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,#0085CA,#000000,62.0,2020,7.0,3,0,0.0,0,0.0,-0.6106500560417771,tedginn
00-0025399,Marshawn Lynch,LV,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ddhpebfqtr9yxsnbx9ht",2007.0,LV,12.0,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png,https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png,#000000,#A5ACAF,762.0,2012,269.6,16,0,0.0,315,12.37459626835366,4.440708674432244,marslynch
