,player_id,fantasy_points_ppr
261,00-0030443,98.3
262,00-0030456,556.4
263,00-0030460,8.1
264,00-0030465,47.82
265,00-0030470,301.4
266,00-0030471,4.6
267,00-0030472,253.0
268,00-0030485,28.6
269,00-0030496,706.4
270,00-0030506,2020.54
271,00-0030513,873.7
272,00-0030516,82.7
273,00-0030520,140.4
274,00-0030521,17.4
275,00-0030524,8.56
276,00-0030525,200.2
277,00-0030526,14.099999
278,00-0030533,36.32
279,00-0030542,115.1
280,00-0030549,237.0
281,00-0030558,1.1
282,00-0030561,7.5
283,00-0030564,1543.04
284,00-0030565,384.4
285,00-0030578,687.2
286,00-0030584,7.2
287,00-0030648,7.2
288,00-0030656,284.2
289,00-0030663,384.2
290,00-0030668,86.9
291,00-0030669,354.78
292,00-0030670,173.3
293,00-0030710,345.24
294,00-0030711,3.6999998
295,00-0030737,14.599999
296,00-0030741,25.2
297,00-0030743,5.8
298,00-0030780,11.299999
299,00-0030801,81.8
300,00-0030821,263.1
301,00-0030854,34.7
302,00-0030860,137.7
303,00-0030874,495.19998
304,00-0030968,55.3
305,00-0031001,3.2
306,00-0031021,7.3999996
307,00-0031023,85.5
308,00-0031025,52.5
309,00-0031035,28.099998
310,00-0031044,30.2
311,00-0031045,638.1
312,00-0031051,577.26
313,00-0031055,2.5
314,00-0031060,55.3
315,00-0031062,857.2
316,00-0031064,50.68
317,00-0031068,206.1
318,00-0031070,0.2
319,00-0031075,145.8
320,00-0031076,19.4
321,00-0031079,5.52
322,00-0031085,7.1
323,00-0031102,102.5
324,00-0031120,6.0
325,00-0031136,4.08
326,00-0031151,4.1
327,00-0031166,269.6
328,00-0031167,26.7
329,00-0031189,140.7
330,00-0031209,6.6
331,00-0031228,336.0
332,00-0031235,788.96
333,00-0031236,1265.6
334,00-0031237,577.3
335,00-0031257,273.9
336,00-0031260,400.72
337,00-0031269,6.0
338,00-0031273,564.3
339,00-0031277,16.9
340,00-0031280,1428.12
341,00-0031285,622.7
342,00-0031288,20.46
343,00-0031299,137.2
344,00-0031301,21.3
345,00-0031302,26.7
346,00-0031315,1.1
347,00-0031319,21.9
348,00-0031325,687.6
349,00-0031326,135.3
350,00-0031332,5.4
351,00-0031339,216.59999
352,00-0031344,163.7
353,00-0031345,882.94
354,00-0031357,2.6
355,00-0031359,206.1
356,00-0031360,6.0
357,00-0031363,0.58
358,00-0031373,194.2
359,00-0031375,28.1
360,00-0031376,638.9
361,00-0031381,1923.1
362,00-0031382,1130.88
363,00-0031384,110.7
364,00-0031387,656.3
365,00-0031390,73.4
366,00-0031395,23.580002
367,00-0031407,469.98
368,00-0031408,1568.1
369,00-0031418,127.700005
370,00-0031420,1.0
371,00-0031428,887.5
372,00-0031431,167.2
373,00-0031462,0.0
374,00-0031484,59.5
375,00-0031502,-4.8
376,00-0031503,872.76
377,00-0031511,12.5
378,00-0031512,0.7
379,00-0031514,6.9
380,00-0031533,6.6
381,00-0031543,-2.8
382,00-0031544,1362.2
383,00-0031545,30.0
384,00-0031547,809.8
385,00-0031549,857.5
386,00-0031550,0.0
387,00-0031558,178.6
388,00-0031560,12.8
389,00-0031568,25.26
390,00-0031569,2.5
391,00-0031570,139.2
392,00-0031577,271.2
393,00-0031585,178.4
394,00-0031588,1770.1
395,00-0031589,130.5
396,00-0031590,210.9
397,00-0031595,36.3
398,00-0031597,6.0
399,00-0031598,208.2
400,00-0031599,34.1
401,00-0031609,69.2
402,00-0031610,748.1
403,00-0031612,12.2
404,00-0031626,0.6
405,00-0031665,69.4
406,00-0031682,15.3
407,00-0031687,544.2
408,00-0031690,73.0
409,00-0031697,27.2
410,00-0031731,73.0
411,00-0031743,9.4
412,00-0031744,87.1
413,00-0031763,287.0
414,00-0031782,69.6
415,00-0031787,91.9
416,00-0031788,10.7
417,00-0031793,0.8
418,00-0031796,6.0
419,00-0031800,389.84
420,00-0031801,3.6
421,00-0031806,311.5
422,00-0031834,1.5
423,00-0031868,347.0
424,00-0031884,0.0
425,00-0031897,32.1
426,00-0031900,126.2
427,00-0031904,6.0
428,00-0031912,24.400002
429,00-0031921,7.1
430,00-0031922,1.5
431,00-0031934,22.3
432,00-0031939,1.4000001
433,00-0031941,738.52
434,00-0031951,230.5
435,00-0031953,6.8
436,00-0031956,6.0
437,00-0031959,45.4
438,00-0031972,31.84
439,00-0032004,7.8
440,00-0032009,547.5
441,00-0032048,5.0
442,00-0032054,375.3
443,00-0032055,336.0
444,00-0032058,631.7
445,00-0032062,101.3
446,00-0032063,556.9
447,00-0032089,8.3
448,00-0032098,56.1
449,00-0032104,347.8
450,00-0032112,120.5
451,00-0032115,29.4
452,00-0032117,120.9
453,00-0032120,24.9
454,00-0032123,22.4
455,00-0032128,446.7
456,00-0032130,6.4
457,00-0032134,436.1
458,00-0032135,273.0
459,00-0032139,22.9
460,00-0032141,198.8
461,00-0032144,1245.9
462,00-0032145,0.0
463,00-0032147,10.5
464,00-0032156,226.54
465,00-0032160,439.4
466,00-0032166,15.2
467,00-0032170,10.0
468,00-0032187,671.0
469,00-0032188,6.2
470,00-0032200,256.4
471,00-0032208,317.1
472,00-0032209,338.5
473,00-0032211,1399.0
474,00-0032214,242.0
475,00-0032227,137.7
476,00-0032241,1185.6
477,00-0032245,16.72
478,00-0032250,17.400002
479,00-0032256,26.7
480,00-0032257,664.2
481,00-0032268,757.6
482,00-0032298,-0.2
483,00-0032319,21.7
484,00-0032320,0.4
485,00-0032355,307.9
486,00-0032362,75.6
487,00-0032371,44.0
488,00-0032375,1.3
489,00-0032377,6.0
490,00-0032381,16.5
491,00-0032383,0.6
492,00-0032385,743.4
493,00-0032390,6.0
494,00-0032392,804.7
495,00-0032393,63.399998
496,00-0032394,208.7
497,00-0032398,282.1
498,00-0032404,53.899998
499,00-0032411,62.0
500,00-0032417,26.4
501,00-0032419,0.0
502,00-0032423,43.7
503,00-0032426,369.5
504,00-0032429,17.2
505,00-0032430,34.1
506,00-0032431,-1.04
507,00-0032434,96.84
508,00-0032436,190.51999
509,00-0032437,1.4
510,00-0032442,10.8
511,00-0032449,1.24
512,00-0032450,42.8
513,00-0032464,319.1
514,00-0032466,1.9
515,00-0032472,14.3
516,00-0032475,12.3
517,00-0032496,-0.060000017
518,00-0032508,3.1
519,00-0032540,10.6
520,00-0032543,209.84
521,00-0032562,0.0
522,00-0032569,0.4
523,00-0032575,0.0
524,00-0032577,34.1
525,00-0032592,-1.8
526,00-0032593,1.5
527,00-0032599,35.4
528,00-0032602,575.6
529,00-0032626,188.9
530,00-0032630,0.44
531,00-0032634,12.1
532,00-0032650,1.3
533,00-0032656,3.3
534,00-0032659,89.6
535,00-0032661,28.6
536,00-0032688,933.5
537,00-0032705,0.0
538,00-0032707,25.0
539,00-0032724,13.5
540,00-0032725,126.2
541,00-0032728,10.1
542,00-0032740,10.4
543,00-0032741,457.4
544,00-0032745,13.7
545,00-0032749,6.0
546,00-0032760,229.0
547,00-0032764,1583.24
548,00-0032765,1207.2
549,00-0032773,2.0
550,00-0032775,553.6
551,00-0032778,202.7
552,00-0032780,589.6
553,00-0032782,207.2
554,00-0032784,33.78
555,00-0032790,6.0
556,00-0032791,297.5
557,00-0032792,9.92
558,00-0032793,12.0
559,00-0032794,23.1
560,00-0032795,42.8
561,00-0032807,0.9000001
562,00-0032813,101.9
563,00-0032827,7.2
564,00-0032839,16.4
565,00-0032881,47.2
566,00-0032897,49.5
567,00-0032911,0.8
568,00-0032918,171.7
569,00-0032926,0.0
570,00-0032935,50.8
571,00-0032937,1.4
572,00-0032940,235.40001
573,00-0032943,2.12
574,00-0032945,43.5
575,00-0032950,1320.6
576,00-0032951,260.1
577,00-0032956,71.3
578,00-0032958,6.0
579,00-0032959,5.8
580,00-0032964,20.7
581,00-0032966,78.1
582,00-0032972,421.6
583,00-0032975,93.0
584,00-0032977,397.3
585,00-0032980,172.1
586,00-0032986,16.1
587,00-0033006,47.5
588,00-0033009,1091.3
589,00-0033025,403.2
590,00-0033040,1979.2
591,00-0033043,18.0
592,00-0033045,1561.06
593,00-0033049,1.6
594,00-0033054,7.5
595,00-0033057,0.0
596,00-0033060,32.7
597,00-0033069,41.3
598,00-0033077,1649.92
599,00-0033079,62.7
600,00-0033080,120.9
601,00-0033083,0.3
602,00-0033085,0.0
603,00-0033087,0.0
604,00-0033090,694.6
605,00-0033094,147.0
606,00-0033095,18.5
607,00-0033104,41.600002
608,00-0033106,1601.1
609,00-0033108,14.8
610,00-0033110,757.3
611,00-0033111,105.5
612,00-0033112,2.0
613,00-0033114,68.7
614,00-0033118,961.5
615,00-0033119,684.5
616,00-0033127,564.9
617,00-0033132,8.74
618,00-0033164,31.2
619,00-0033215,45.9
620,00-0033217,270.7
621,00-0033246,60.5
622,00-0033251,497.4
623,00-0033258,33.4
624,00-0033266,5.6000004
625,00-0033275,61.44
626,00-0033280,1743.16
627,00-0033282,741.6
628,00-0033288,1179.0
629,00-0033292,193.9
630,00-0033293,1397.3
631,00-0033295,162.1
632,00-0033296,41.6
633,00-0033300,7.1
634,00-0033304,1.1000001
635,00-0033306,2.0
636,00-0033307,701.6
637,00-0033308,525.7
638,00-0033315,3.5
639,00-0033319,261.1
640,00-0033338,23.2
641,00-0033352,8.1
642,00-0033357,587.4
643,00-0033367,37.8
644,00-0033373,23.3
645,00-0033374,5.9
646,00-0033375,415.6
647,00-0033376,101.7
648,00-0033379,2.4
649,00-0033382,45.8
650,00-0033384,1.4000001
651,00-0033386,21.2
652,00-0033387,212.5
653,00-0033400,2.24
654,00-0033413,5.7
655,00-0033421,34.1
656,00-0033434,25.3
657,00-0033439,108.8
658,00-0033441,1.8
659,00-0033449,0.0
660,00-0033455,289.6
661,00-0033460,223.8
662,00-0033464,5.1
663,00-0033466,432.78
664,00-0033471,144.2
665,00-0033474,7.3
666,00-0033481,10.5
667,00-0033503,6.0
668,00-0033514,5.1
669,00-0033526,446.0
670,00-0033528,90.0
671,00-0033530,3.6999998
672,00-0033536,958.8
